what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1342709595467
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709596709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709599605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709608077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709608193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709611857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709616358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709624943
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342709626298
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709631159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709634195
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1342709640713
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1342709640806
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1342709642175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709642194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709646082
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1342709652275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709652295
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342709656756
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709656807
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342709656807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709661359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709662263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709665292
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1342709668759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709669315
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342709669529
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342709669646
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709670352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709672039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709678306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709678814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709679430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342709680445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709680702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709684943
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709686447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709688564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709696578
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342709696840
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342709696928
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709697052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709703381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1342709704227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342709706076
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1342709706992
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1342709707266
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1342709707806
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1342709708302
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1342709708335
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1342709708363
